File Name;Game Title;Rpi 1 Status;Rpi 2 Status;Rpi 3 Status;Parent;BIOS;Samples;Notes;Year;Manufacturer;Played
asuka;Asuka & Asuka (Japan);Untested;Untested;OK;;;;;1988;Taito Corporation;
asurabld;Asura Blade - Sword of Dynasty (Japan);Untested;Untested;OK;;;;;1998;Fuuki;
asylum;Asylum (prototype);Untested;Untested;Untested;;;;;1991;Leland Corp.;
atarifb;Atari Football (revision 2);Untested;Untested;Untested;;;;;1978;Atari;
ataxx;Ataxx (set 1);Untested;Untested;Untested;;;;;1990;Leland Corp.;
atehate;Athena no Hatena ?;Untested;Untested;OK;;;;;1993;Athena;
atetris;Tetris (set 1);Untested;Untested;OK;;;;;1988;Atari Games;
athena;Athena;Untested;Untested;OK;;;;;1986;SNK;
aurail;Aurail (set 1);Untested;Untested;OK;;;;;1990;Sega / Westone;
avalnche;Avalanche;Untested;Untested;OK;;;;;1978;Atari;
avspirit;Avenging Spirit;Untested;Untested;Untested;;;;;1991;Jaleco;
azurian;Azurian Attack;Untested;Untested;Untested;;;;;1982;Rait Electronics Ltd;
baddudes;Bad Dudes vs. Dragonninja (US);Untested;OK;OK;;;;;1988;Data East USA;
badlands;Bad Lands;Untested;Untested;Untested;;;;;1989;Atari Games;
bagman;Bagman;Untested;Untested;OK;;;;;1982;Valadon Automation;
bakatono;Bakatonosama Mahjong Manyuki;Untested;Untested;Untested;;neogeo;;;1991;Monolith Corp.;
bakubaku;Baku Baku Animal;Untested;Untested;Untested;;;;;1996;Sega;
bakubrkr;Bakuretsu Breaker;Untested;Untested;Untested;;;;;1992;Kaneko;
bakutotu;Bakutotsu Kijuutei;Untested;Untested;OK;;;;;1988;Namco;
balcube;Bal Cube;Untested;Untested;Untested;;;;;1996;Metro;
ballbomb;Balloon Bomber;Untested;Untested;Untested;;;;;1980;Taito;
ballbros;Balloon Brothers;Untested;Untested;OK;;;;;1992;East Technology;
balonfgt;Vs. Balloon Fight;Untested;Untested;Untested;;;;;1984;Nintendo;
baluba;Baluba-louk no Densetsu;Untested;Untested;Untested;;;;;1986;Able Corp, Ltd.;
bananadr;Mahjong Banana Dream [BET] (Japan 891124);Untested;Untested;OK;;;;;1989;Digital Soft;
bang;Bang!;Untested;Untested;OK;;;;;1998;Gaelco;
bangball;Bang Bang Ball (v1.05);Untested;Untested;OK;;;;;1996;Banpresto / Kunihiko Tashiro+Goodhouse;
bankp;Bank Panic;Untested;OK;Untested;;;;;1984;[Sanritsu] Sega;
barricad;Barricade;Untested;Untested;Untested;;;;;1976;RamTek;
barrier;Barrier;Untested;Untested;Untested;;;;;1979;Vectorbeam;
basebal2;Baseball The Season II;Untested;Untested;Untested;;;;;1987;Cinematronics;
batcir;Battle Circuit (Euro 970319);Untested;OK;Untested;;;;;1997;Capcom;
batman;Batman;Untested;OK;OK;;;;;1991;Atari Games;
batrider;Armed Police Batrider (Japan, version B);Untested;OK;OK;;;;;1998;Raizing / Eighting;
battlane;Battle Lane! Vol. 5 (set 1);Untested;Untested;Untested;;;;;1986;Technos (Taito license);
battlcry;Battlecry;Untested;Untested;Untested;;;;;1991;Home Data;
battleg;Battle Garegga - Type 2 (Denmark / China) (Tue Apr 2 1996);Untested;OK;OK;;;;;1996;Raizing / Eighting;
battlera;Battle Rangers (World);Untested;Untested;Untested;;;;;1988;Data East Corporation;
battlex;Battle Cross;Untested;Untested;Untested;;;;;1982;Omori Electric;
battlnts;Battlantis;Untested;Untested;Untested;;;;;1987;Konami;
battroad;The Battle-Road;Untested;Untested;Untested;;;;;1984;Irem;
bayroute;Bay Route (set 1);Untested;Untested;OK;;;;;1989;Sunsoft / Sega;
bbakraid;Battle Bakraid (Japan) (Wed Apr 7 1999);Untested;OK;OK;;;;;1999;Eighting;
bballs;Bouncing Balls;Untested;Untested;OK;;;;;1991;Comad;
bbbxing;Best Bout Boxing;Untested;Untested;Untested;;;;;1994;Jaleco;
bbmanw;Bomber Man World (World);Untested;OK;Untested;;;;;1991;Irem;
bbonk;Bigfoot Bonkers;Untested;Untested;Untested;;;;;1976;Meadows Games, Inc.;
bbprot;Untitled Fighter 'BB' (prototype);Untested;Untested;Untested;;;;;;<unknown>;
bchopper;Battle Chopper;Untested;OK;Untested;;;;;1987;Irem;
bcruzm12;Battle Cruiser M-12;Untested;Untested;Untested;;;;;1983;Sigma Enterprises Inc.;
beaminv;Beam Invader;Untested;Untested;Untested;;;;;;Tekunon Kougyou;
beathead;BeatHead (prototype);Untested;Untested;Untested;;;;;1993;Atari Games;
beezer;Beezer (set 1);Untested;Untested;OK;;;;;1982;Tong Electronic;
benberob;Ben Bero Beh (Japan);Untested;Untested;OK;;;;;1984;Taito;
berabohm;Beraboh Man (Japan version C);Untested;Untested;OK;;;;;1988;Namco;
berlwall;The Berlin Wall (set 1);Untested;Untested;Untested;;;;;1991;Kaneko;
bermudat;Bermuda Triangle (Japan);Untested;Untested;Untested;;;;;1987;SNK;
bigbucks;Big Bucks;Untested;Untested;Untested;;;;;1986;Dynasoft Inc.;
bigevglf;Big Event Golf;Untested;Untested;Untested;;;;;1986;Taito America Corporation;
bigkarnk;Big Karnak;Untested;Untested;Untested;;;;;1991;Gaelco;
bigprowr;The Big Pro Wrestling!;Untested;Untested;Untested;;;;;1983;Technos;
bigrun;Big Run (11th Rallye version);Untested;Untested;Untested;;;;;1989;Jaleco;
bigstrik;Big Striker;Untested;Untested;Untested;;;;;1992;Jaleco;
bigtwin;Big Twin;Untested;Untested;Untested;;;;;1995;Playmark;
bijokkog;Bijokko Gakuen (Japan 880116);Untested;Untested;Untested;;;;;1988;Nichibutsu;
bijokkoy;Bijokko Yume Monogatari (Japan 870925);Untested;Untested;Untested;;;;;1987;Nichibutsu;
bioatack;Bio Attack;Untested;Untested;Untested;;;;;1983;Taito Corporation (Fox Video Games license);
biomtoy;Biomechanical Toy (unprotected);Untested;OK;Untested;;;;;1995;Gaelco;
bionicc;Bionic Commando (US set 1);Untested;OK;OK;;;;;1987;Capcom;
bioship;Bio-ship Paladin;Untested;Untested;Untested;;;;;1990;UPL (American Sammy license);
birdtry;Birdie Try (Japan);Untested;Untested;Untested;;;;;1988;Data East Corporation;
bishi;Bishi Bashi Championship Mini Game Senshuken;Untested;Untested;Untested;;;;;1996;Konami;
bjourney;Blue's Journey / Raguy;Untested;Untested;Untested;;neogeo;;;1990;Alpha Denshi Co.;yes
bjtwin;Bombjack Twin;Untested;OK;OK;;;;;1993;NMK;
bking;Birdie King;Untested;Untested;Untested;;;;;1982;Taito Corporation;
bking2;Birdie King 2;Untested;Untested;Untested;;;;;1983;Taito Corporation;
bking3;Birdie King 3;Untested;Untested;Untested;;;;;1984;Taito Corporation;
bkrtmaq;Bakuretsu Quiz Ma-Q Dai Bouken (Japan);Untested;Untested;Untested;;;;;1992;Namco;
bladestl;Blades of Steel (version T);Untested;Untested;Untested;;;;;1987;Konami;
blandia;Blandia;Untested;Untested;Untested;;;;;1992;Allumer;
blaster;Blaster;Untested;Untested;OK;;;;sound is a bit choppy, sometimes doesn't load;1983;Williams;
blasto;Blasto;Untested;Untested;Untested;;;blockade;;1978;Gremlin;
blastoff;Blast Off (Japan);Untested;Untested;OK;;;;;1989;Namco;
blazeon;Blaze On (Japan);Untested;OK;Untested;;;;;1992;Atlus;
blazer;Blazer (Japan);Untested;Untested;OK;;;;;1987;Namco;
blazstar;Blazing Star;Untested;Untested;OK;;neogeo;;;1998;Yumekobo;
blkheart;Black Heart;Untested;Untested;Untested;;;;;1991;UPL;
blkhole;Black Hole;Untested;Untested;Untested;;;;;1981;TDS;
blkpnthr;Black Panther;Untested;Untested;Untested;;;;;1987;Konami;
blktiger;Black Tiger;Untested;OK;Untested;;;;;1987;Capcom;
blmbycar;Blomby Car;Untested;Untested;Untested;;;;;1994;ABM & Gecas;
block;Block Block (World 911106 Joystick);Untested;Untested;Untested;;;;;1991;Capcom;
blockade;Blockade;Untested;Untested;Untested;;;;;1976;Gremlin;
blockcar;Block Carnival / Thunder & Lightning 2;Untested;Untested;Untested;;;;;1992;Visco;
blocken;Blocken (Japan);Untested;Untested;Untested;;;;;1994;KID / Visco;
blockhl;Block Hole;Untested;Untested;Untested;;;;;1989;Konami;
blockout;Block Out (set 1);Untested;Untested;Untested;;;;;1989;Technos + California Dreams;
bloodbro;Blood Bros.;Untested;Untested;OK;;;;;1990;Tad;
bloodstm;Blood Storm (v2.22);Untested;Untested;Untested;;;;;1994;Strata/Incredible Technologies;
blstroid;Blasteroids (rev 4);Untested;Untested;OK;;;;;1987;Atari Games;
blswhstl;Bells & Whistles (Version L);Untested;Untested;Untested;;;;;1991;Konami;
bluehawk;Blue Hawk;Untested;Untested;Untested;;;;;1993;Dooyong;
blueprnt;Blue Print (Midway);Untested;Untested;Untested;;;;;1982;[Zilec Electronics] Bally Midway;
blueshrk;Blue Shark;Untested;Untested;Untested;;;;;1978;Midway;
blzntrnd;Blazing Tornado;Untested;Untested;Untested;;;;;1994;Human Amusement;
bmaster;Blade Master (World);Untested;OK;Untested;;;;;1991;Irem;
bmcompmx;beatmania complete MIX (ver JA-B);Untested;Untested;Untested;;;;;1999;Konami;
bmcorerm;beatmania CORE REMIX (ver JA-A);Untested;Untested;Untested;;;;;2000;Konami;
bmdct;beatmania f. Dreams Come True (ver JA-A);Untested;Untested;Untested;;;;;2000;Konami;
bnglngby;Vs. Raid on Bungeling Bay (Japan);Untested;Untested;Untested;;;;;1985;Nintendo / Broderbund Software Inc.;
bnzabros;Bonanza Bros;Untested;Untested;Untested;;;;;1990;Sega;
bodyslam;Body Slam;Untested;Untested;Untested;;;;;1986;Sega;
bogeyman;Bogey Manor;Untested;Untested;Untested;;;;;;Technos Japan;
bombbee;Bomb Bee;Untested;Untested;Untested;;;;;1979;Namco;
bombjack;Bomb Jack (set 1);Untested;OK;OK;;;;;1984;Tehkan;
bonzeadv;Bonze Adventure (World);Untested;Untested;Untested;;;;;1988;Taito Corporation Japan;
boomrang;Boomer Rang'r / Genesis;Untested;Untested;Untested;;;;;1983;Data East Corporation;
borench;Borench;Untested;Untested;Untested;;;;;1990;Sega;
bosco;Bosconian (new version);Untested;Untested;Untested;;;;;1981;Namco;yes
bottom9;Bottom of the Ninth (version T);Untested;Untested;Untested;;;;;1989;Konami;
bouldash;Boulder Dash / Boulder Dash Part 2 (World);Untested;Untested;Untested;;;;;1990;Data East Corporation (licensed from First Star);
bounty;The Bounty;Untested;Untested;Untested;;;;;1982;Orca;
bowler;4 Player Bowling Alley;Untested;Untested;Untested;;;;;1978;Midway;
bowlrama;Bowl-O-Rama;Untested;Untested;Untested;;;;;1991;P&P Marketing;
boxer;Boxer (prototype);Untested;Untested;Untested;;;;;1978;Atari;
boxingb;Boxing Bugs;Untested;Untested;Untested;;;;;1981;Cinematronics;
boxyboy;Boxy Boy (US);Untested;Untested;Untested;;;;;1990;Namco;
bradley;Bradley Trainer;Untested;Untested;Untested;;;;;1980;Atari;
brain;Brain;Untested;Untested;Untested;;;;;1986;Coreland / Sega;
breakers;Breakers;Untested;Untested;Untested;;neogeo;;;1996;Visco;
brival;Burning Rival (Japan);Untested;Untested;Untested;;;;;1992;Sega;
brkthru;Break Thru (US);Untested;Untested;Untested;;;;;1986;Data East USA;
brubber;Burnin' Rubber;Untested;Untested;Untested;;;;;1982;Data East;
brutforc;Brute Force;Untested;OK;Untested;;;;;1991;Leland Corp.;
bshark;Battle Shark (US);Untested;Untested;Untested;;;;;1989;Taito America Corporation;
bsktball;Basketball;Untested;Untested;OK;;;;;1979;Atari;
bssoccer;Back Street Soccer;Untested;Untested;Untested;;;;;1996;SunA;
bstars;Baseball Stars Professional;Untested;Untested;Untested;;neogeo;;;1990;SNK;
bstars2;Baseball Stars 2;Untested;Untested;OK;;neogeo;;;1992;SNK;
btime;Burger Time (Data East set 1);Untested;OK;OK;;;;;1982;Data East Corporation;
btlecity;Vs. Battle City;Untested;Untested;Untested;;;;;1985;Namco;
btoads;Battle Toads;Untested;OK;OK;;;;default dipswitches are for 1 coin slot (only player 1 can insert coins), and 2 player. You can use the TAB MAME menu to change dipswitches to turn 'common coin mech' OFF and 3 player mode ON.;1994;Rare;
bubbles;Bubbles;Untested;Untested;OK;;;;;1982;Williams;
bubl2000;Bubble 2000;Untested;OK;Untested;;;;;1998;Tuning;
bublbobl;Bubble Bobble;Untested;OK;OK;;;;;1986;Taito Corporation;
bucky;Bucky O'Hare (World version EA);Untested;OK;OK;;;;;1992;Konami;
buggychl;Buggy Challenge;Untested;Untested;Untested;;;;;1984;Taito Corporation;
bullfgt;Bullfight;Untested;Untested;Untested;;;;;1984;Coreland / Sega;
bullfgtr;Bull Fighter;Untested;Untested;Untested;;;;;1984;Alpha Denshi Co. (Sega license);
burglarx;Burglar X;Untested;Untested;Untested;;;;;1997;Unico;
burnforc;Burning Force (Japan);Untested;Untested;Untested;;;;;1989;Namco;
